WKT	beslissing	vervanging_id	pointid_from_targets	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	pointid
POINT (2.871398 51.082301)	behouden	NA	Pl_9296.1.4	Polders	HOL binnen plan	35	eerste set	0.507143675415076	unclassified	Pl_9296.1.4
POINT (2.992057 51.153957)	behouden	NA	Pl_9743.1	Polders	HOL buiten plan	14	eerste set	0.284238264140499	unclassified	Pl_9743.1
POINT (2.929472 51.165274)	behouden	NA	Pl_9748.2	Polders	OL buiten plan	55	eerste set	0.613403783693192	unclassified	Pl_9748.2
POINT (2.924698 51.171381)	behouden	NA	Pl_9749.4	Polders	OL buiten plan	7	eerste set	0.711987878483796	unclassified	Pl_9749.4
POINT (3.358146 51.251277)	behouden	NA	Pl_9811.3	Polders	HOL buiten plan	53	eerste set	0.715374355022396	track	Pl_9811.3
POINT (2.848298 51.067091)	behouden	NA	Pl_9893.7	Polders	HOL binnen plan	31	eerste set	0.628304280463078	unclassified	Pl_9893.7
POINT (2.970095 51.163888)	behouden	NA	Pl_9961.1.4	Polders	HOL buiten plan	41	eerste set	0.625218824061231	unclassified	Pl_9961.1.4
POINT (2.963269 51.169928)	behouden	NA	Pl_9963.2.2	Polders	HOL buiten plan	23	eerste set	0.511282702295621	unclassified	Pl_9963.2.2
POINT (4.181477 51.266987)	vervangen door bestaand	Turfbanken Verrebroek	Pl_2803.1	Polders	OL binnen plan	29	eerste set	0.820881912958611	unclassified	Turfbanken Verrebroek
POINT (2.57859 51.021754)	vervangen door bestaand	VL0048	Pl_13942.1	Polders	HOL binnen plan	13	eerste set	0.611522407838429	unclassified	VL0048
