WKT	pointid	naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype	beslissing	vervanging_id	pointid_from_targets
POINT (4.129598 51.22689)	Zn_879.2	Zandstreek	HOL binnen plan	23	eerste set	0.501273782748188	unclassified	behouden	NA	Zn_879.2
POINT (4.317483 51.024854)	Zn_88997.4	Zandstreek	HOL buiten plan	58	reserve set	0.400958822171202	tertiary	behouden	NA	Zn_88997.4
POINT (4.792722 50.898921)	Zn_8972.3	Zandstreek	HOL binnen plan	20	eerste set	0.488179406798922	tertiary	behouden	NA	Zn_8972.3
POINT (4.428579 51.091718)	Zn_8985.6	Zandstreek	HOL binnen plan	46	eerste set	0.523097742663676	unclassified	behouden	NA	Zn_8985.6
POINT (4.081266 51.019772)	Zn_90966.6	Zandstreek	HOL binnen plan	26	eerste set	0.525054373552566	track	behouden	NA	Zn_90966.6
POINT (4.401004 51.072201)	Zn_9106	Zandstreek	HOL binnen plan	52	eerste set	0.34654943245087	unclassified	behouden	NA	Zn_9106
POINT (3.304055 51.237134)	Zn_91132.7	Zandstreek	OL binnen plan	72	eerste set	0.690991723944429	unclassified	behouden	NA	Zn_91132.7
POINT (3.320821 51.14207)	Zn_92781.3	Zandstreek	HOL binnen plan	38	eerste set	0.421503446505429	unclassified	behouden	NA	Zn_92781.3
POINT (4.592033 51.094179)	Zn_93998.1	Zandstreek	HOL buiten plan	60	reserve set	0.526258454099691	unclassified	behouden	NA	Zn_93998.1
POINT (3.837841 51.208992)	Zn_94077.1	Zandstreek	OL buiten plan	51	eerste set	0.79348908051294	track	behouden	NA	Zn_94077.1
POINT (3.379233 51.107643)	Zn_94538.2	Zandstreek	HOL binnen plan	19	eerste set	0.564262246366255	track	behouden	NA	Zn_94538.2
POINT (4.426942 50.986833)	Zn_96879.1	Zandstreek	HOL buiten plan	43	eerste set	0.404872083949097	track	behouden	NA	Zn_96879.1
POINT (3.697409 51.248936)	Zn_97745.6	Zandstreek	OL binnen plan	40	eerste set	0.708751912013556	unclassified	behouden	NA	Zn_97745.6
POINT (4.374913 51.019912)	Zn_98240.1	Zandstreek	HOL binnen plan	2	eerste set	0.607985421231509	track	behouden	NA	Zn_98240.1
POINT (4.115099 51.23428)	Zn_9869.21	Zandstreek	OL binnen plan	26	eerste set	0.628078515360536	unclassified	behouden	NA	Zn_9869.21
